"entity","instrument","underlying","underlying_price","strike_price","conversion_factor","expiry","portfolio","instrument_type","call_put","currency","position","reporting_date","quantity","average_price","market_price","market_value","new_trade","upld","uplm","uply","rpld","rplm","rply","tpld","tplm","tply","dividends","delisted_date","hkats_code"
"HTIFS - EDD","941 HK 06/29/2016 C92.5 Equity","941 HK Equity","87.3000","92.50","500.0","29/6/2016","EDD Warrant Trading","Listed Equity Option","C","HKD","L","2016-06-13","80","0.6275","0.2790","11158.8631","-20307.2036","-13131.4441","-13941.1369","-13941.1369","0","-240.0000","-240.0000","-13131.4441","-14181.1369","-14181.1369","0","","CHT92.50F6@XHKF"
"HTIFS - EDD","XUM6 Index","XIN9I Index","0","0","1.0","29/6/2016","EDD Warrant Trading","Listed Index Future","","USD","S","2016-06-13","-12","9145.8333","9052.5000","1120.0000","0","3480.0000","5310.0000","1120.0000","0","0","-43.2000","3480.0000","5310.0000","1076.8000","0","","XUM6 Index"
"HTIFS - EDD","HIM6 Index","HSI Index","20512.9900","0","50.0","29/6/2016","EDD Warrant Trading","Listed Index Future","","HKD","S","2016-06-13","-8","20284.7500","20378.0000","160300.0000","84317.5600","-86100.0000","-91650.0000","-37300.0000","382442.7800","204736.2600","175613.5600","296342.7800","113086.2600","138313.5600","0","","HSIM6@XHKF"
"HTIFS - EDD","HSI 06/29/2016 P19600 Index","HSI Index","20512.9900","19600.00","50.0","29/6/2016","EDD Warrant Trading","Listed Index Option","P","HKD","L","2016-06-13","12","706.6667","157.3345","94400.7265","-392150.0337","57394.4553","-7822.9424","-329599.2735","0","0","-126.4800","57394.4553","-7822.9424","-329725.7535","0","","HSI19600R6@XHKF"
"HTIFS - EDD","HSI 06/29/2016 C19600 Index","HSI Index","20512.9900","19600.00","50.0","29/6/2016","EDD Warrant Trading","Listed Index Option","C","HKD","L","2016-06-13","12","403.8333","935.2512","561150.7287","336488.5663","-200565.0621","-65382.8264","318850.7287","0","0","-981.8800","-200565.0621","-65382.8264","317868.8487","0","","HSI19600F6@XHKF"
"HTIFS - EDD","5 HK 08/30/2016 C52.5 Equity","5 HK Equity","47.9000","52.50","400.0","30/8/2016","EDD Warrant Trading","Listed Equity Option","C","HKD","L","2016-06-13","490","1.5167","0.7492","146838.4320","-223321.8943","-70941.7268","-212295.5221","-150441.5680","0","0","-1470.0000","-70941.7268","-212295.5221","-151911.5680","0","","HKB52.50H6@XHKF"
"HTIFS - EDD","XPM6 Index","AS51 Index","0","0","25.0","16/6/2016","EDD Warrant Trading","Listed Index Future","","AUD","L","2016-06-13","0","0.0000","5259.0000","-1425.0000","0","0","0","0","0","0","-1431.0000","0","0","-1431.0000","0","","XPM6 Index"
"HTIFS - EDD","NQM6 Index","NDX Index","0","0","20.0","17/6/2016","EDD Warrant Trading","Listed Index Future","","USD","L","2016-06-13","0","0.0000","4463.5000","910.0000","0","0","0","0","0","0","905.6400","0","0","905.6400","0","","NQM6 Index"
"HTIFS - EDD","2318 HK 09/29/2016 C39.0 Equity","2318 HK Equity","34.1000","39.00","500.0","29/9/2016","EDD Warrant Trading","Listed Equity Option","C","HKD","L","2016-06-13","800","1.9800","0.6089","243561.6613","-714213.6712","-63148.1567","-69093.2113","-548438.3387","0","0","-3740.0000","-63148.1567","-69093.2113","-552178.3387","0","","PAI39.00I6@XHKF"
"HTIFS - EDD","2318 HK 06/29/2016 P37.0 Equity","2318 HK Equity","34.1000","37.00","500.0","29/6/2016","EDD Warrant Trading","Listed Equity Option","P","HKD","L","2016-06-13","100","1.8420","3.0055","150274.6972","53390.2131","38006.2522","17988.3845","58174.6972","0","0","-100.0000","38006.2522","17988.3845","58074.6972","0","","PAI37.00R6@XHKF"
"HTIFS - EDD","2318 HK 06/29/2016 C38.0 Equity","2318 HK Equity","34.1000","38.00","500.0","29/6/2016","EDD Warrant Trading","Listed Equity Option","C","HKD","L","2016-06-13","70","1.7829","0.0703","2459.1551","-62410.4692","-1273.9848","-5007.3349","-59940.8449","0","0","-70.0000","-1273.9848","-5007.3349","-60010.8449","0","","PAI38.00F6@XHKF"
"HTIFS - EDD","5 HK 06/29/2016 C52.5 Equity","5 HK Equity","47.9000","52.50","400.0","29/6/2016","EDD Warrant Trading","Listed Equity Option","C","HKD","L","2016-06-13","205","1.7073","0.2749","22539.0056","-139932.5442","-8250.2019","-54427.0210","-117460.9944","0","0","-615.0000","-8250.2019","-54427.0210","-118075.9944","0","","HKB52.50F6@XHKF"
"HTIFS - EDD","5 HK 09/29/2016 C52.5 Equity","5 HK Equity","47.9000","52.50","400.0","29/9/2016","EDD Warrant Trading","Listed Equity Option","C","HKD","L","2016-06-13","75","2.8533","1.0102","30306.8043","-67822.3706","-11485.9620","-33778.9191","-55293.1957","0","0","-225.0000","-11485.9620","-33778.9191","-55518.1957","0","","HKB52.50I6@XHKF"
"HTIFS - EDD","OTC 5 EC@52 30Aug16","5 HK Equity","47.9000","52.00","1.0","30/8/2016","EDD Warrant Trading","OTC Equity Option","C","HKD","L","2016-06-13","0","0.0000","0.8219","0","-969088.0000","0","0","0","0","0","-969088.0000","0","0","-969088.0000","0","","OTC 5 EC@52 30Aug16"
"HTIFS - EDD","388 HK 06/29/2016 P180.0 Equity","388 HK Equity","183.4000","180.00","100.0","29/6/2016","EDD Warrant Trading","Listed Equity Option","P","HKD","L","2016-06-13","520","10.6502","3.1124","161845.1520","-473924.4398","74644.1450","7937.7359","-391964.8480","0","0","-520.0000","74644.1450","7937.7359","-392484.8480","0","","HEX180.00R6@XHKF"
"HTIFS - EDD","388 HK 06/29/2016 C180.0 Equity","388 HK Equity","183.4000","180.00","100.0","29/6/2016","EDD Warrant Trading","Listed Equity Option","C","HKD","L","2016-06-13","136","13.0609","6.5333","88853.4904","-110494.6945","-28092.4499","-33514.6302","-88774.5096","0","0","-136.0000","-28092.4499","-33514.6302","-88910.5096","0","","HEX180.00F6@XHKF"
"HTIFS - EDD","941 HK 06/29/2016 P80.0 Equity","941 HK Equity","87.3000","80.00","500.0","29/6/2016","EDD Warrant Trading","Listed Equity Option","P","HKD","S","2016-06-13","-1","2.3600","0.1813","-90.6308","1167.5660","-40.1919","59.5559","1089.3692","0","0","-3.0000","-40.1919","59.5559","1086.3692","0","","CHT80.00R6@XHKF"
"HTIFS - EDD","941 HK 06/29/2016 C95.0 Equity","941 HK Equity","87.3000","95.00","500.0","29/6/2016","EDD Warrant Trading","Listed Equity Option","C","HKD","L","2016-06-13","59","0.2900","0.0944","2785.8148","-7768.4243","-4654.5862","-6026.8633","-5769.1852","0","55.0000","52.0000","-4654.5862","-5971.8633","-5717.1852","0","","CHT95.00F6@XHKF"
"HTIFS - EDD","1038 HK Equity","1038 HK Equity","74.4500","0","0","","EDD HFT 4","Equity","","HKD","L","2016-06-13","0","0.0000","74.4500","0","7570.6300","0","0","0","0","0","7570.6300","0","0","7570.6300","0","","1038@XHKG"
"HTIFS - EDD","2318 HK Equity","2318 HK Equity","34.1000","0","0","","EDD HFT 4","Equity","","HKD","L","2016-06-13","0","0.0000","34.1000","0","-4536.1100","0","0","0","0","0","-4536.1100","0","0","-4536.1100","0","","2318@XHKG"
"HTIFS - EDD","25894 HK Equity","388 HK Equity","183.4000","178.08","0.01","30/9/2016","EDD HFT 2","Listed Warrant","C","HKD","L","2016-06-13","0","0.0000","0.2280","0","-0.5300","0","0","0","0","0","-0.5300","0","0","-0.5300","0","","25894@XHKG"
"HTIFS - EDD","25983 HK Equity","2318 HK Equity","34.1000","36.88","0.1","1/8/2016","EDD HFT 2","Listed Warrant","C","HKD","L","2016-06-13","0","0.0000","0.2950","0","9.6400","0","0","0","0","0","9.6400","0","0","9.6400","0","","25983@XHKG"
